epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,109.503,1.02738,0.68503,1.39778,0.63759,1,0.84452,0.37432,1.4947,1.97213,1.75277,0.00183368,0.00183368,0.00183368
44,112.008,0.98807,0.65249,1.35092,0.73169,0.83333,0.87167,0.2105,2.33271,2.92648,2.00392,0.00182972,0.00182972,0.00182972
45,114.51,1.03651,0.61917,1.37202,0.92153,1,0.995,0.77683,1.12812,1.49665,1.33852,0.00182576,0.00182576,0.00182576
46,117.021,1.04881,0.61709,1.37296,0.9825,1,0.995,0.83285,0.72309,0.90747,1.03502,0.0018218,0.0018218,0.0018218
47,119.545,0.99448,0.59513,1.34437,0.97971,1,0.995,0.85477,0.7385,0.87403,1.02112,0.00181784,0.00181784,0.00181784
48,122.049,0.97454,0.60779,1.31895,0.97762,1,0.995,0.84038,0.70784,0.60581,0.99072,0.00181388,0.00181388,0.00181388
49,124.698,0.99171,0.65186,1.36713,0.98396,1,0.995,0.85148,0.73675,0.57941,1.02464,0.00180992,0.00180992,0.00180992
50,127.234,0.97428,0.62291,1.31453,0.98367,1,0.995,0.85596,0.69603,0.52781,1.00383,0.00180596,0.00180596,0.00180596
51,129.761,0.99525,0.58447,1.33843,0.97935,1,0.995,0.87954,0.61822,0.76987,0.92968,0.001802,0.001802,0.001802
52,132.306,0.93729,0.6252,1.35099,0.98693,1,0.995,0.88288,0.63438,0.47496,0.97166,0.00179804,0.00179804,0.00179804
53,134.842,1.03117,0.5953,1.36347,0.98909,1,0.995,0.81282,0.69537,0.49951,1.01951,0.00179408,0.00179408,0.00179408
54,137.388,0.96441,0.59988,1.342,0.9883,1,0.995,0.75648,0.96449,0.55898,1.16597,0.00179012,0.00179012,0.00179012
55,139.927,0.94228,0.61456,1.29723,0.98188,1,0.995,0.81029,0.91153,0.71703,1.14547,0.00178616,0.00178616,0.00178616
56,142.575,0.93972,0.60376,1.32324,0.93557,1,0.995,0.65047,0.75426,0.75414,1.10418,0.0017822,0.0017822,0.0017822
57,145.167,0.95216,0.59757,1.33444,0.9755,1,0.995,0.7829,0.83367,0.62418,1.12457,0.00177824,0.00177824,0.00177824
58,147.703,1.02849,0.59018,1.37283,0.97929,1,0.995,0.79545,0.82717,0.52624,1.06057,0.00177428,0.00177428,0.00177428
59,150.24,0.95291,0.59859,1.29409,0.99072,1,0.995,0.83013,0.707,0.40583,1.00438,0.00177032,0.00177032,0.00177032
60,152.789,0.95548,0.59889,1.34354,0.96598,1,0.995,0.8671,0.67444,0.59578,0.98239,0.00176636,0.00176636,0.00176636
61,155.336,0.98158,0.57464,1.33461,0.98583,1,0.995,0.73952,0.95515,0.69581,1.13904,0.0017624,0.0017624,0.0017624
62,157.894,0.95364,0.58055,1.355,0.98272,1,0.995,0.74208,1.08404,0.70304,1.24718,0.00175844,0.00175844,0.00175844
63,160.429,0.98571,0.59525,1.31145,0.97635,1,0.995,0.82684,0.65605,0.67119,1.01795,0.00175448,0.00175448,0.00175448
64,162.964,0.95128,0.56888,1.33387,0.97671,1,0.995,0.75309,0.79562,0.59146,1.09605,0.00175052,0.00175052,0.00175052
65,165.516,0.9522,0.54691,1.3131,0.97897,1,0.995,0.79413,0.91376,0.52695,1.13422,0.00174656,0.00174656,0.00174656
66,168.28,0.92281,0.56755,1.27739,0.98878,1,0.995,0.8713,0.66083,0.47133,0.98253,0.0017426,0.0017426,0.0017426
67,170.966,0.92233,0.57066,1.29969,0.98917,1,0.995,0.85584,0.67992,0.38827,1.01168,0.00173864,0.00173864,0.00173864
68,173.59,0.93882,0.54995,1.26711,0.98347,1,0.995,0.83937,0.79779,0.52126,1.09737,0.00173468,0.00173468,0.00173468
69,176.142,0.96541,0.54926,1.35898,0.98656,1,0.995,0.78114,0.91279,0.42958,1.13144,0.00173072,0.00173072,0.00173072
70,178.698,0.90583,0.52189,1.29329,0.99066,1,0.995,0.7696,0.96151,0.51964,1.14025,0.00172676,0.00172676,0.00172676
71,181.233,0.94715,0.52913,1.34373,0.99006,1,0.995,0.73608,0.945,0.54281,1.15098,0.0017228,0.0017228,0.0017228
